un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
141,story,gun-deaths,71.68,31.275,0,0,0
90,story,carbon-clock,280.665,227.603,2481,0,0
134,int,measles,169.264,32.247,1,4,0
149,story,measles,93.227,83.78,0,0,0
125,all,gun-deaths,300.945,191.011,0,14,0
111,int,gun-deaths,367.082,14.844,0,66,0
151,none,measles,125.69,86.615,0,0,0
163,none,us-healthcare,60.224,0,0,0,0
102,story,measles,243.349,153.859,0,0,0
145,story,us-healthcare,172.946,40.404,36,0,0
154,int,carbon-clock,147.793,36.35,5,3,9
163,none,us-healthcare,47.433,0,0,0,0
158,int,gun-deaths,149.438,6.906,0,23,0
175,none,gun-deaths,18.488,16.66,0,0,0
169,story,carbon-clock,114.742,60.823,185,0,0
176,int,measles,63.672,9.719,1,1,0
179,story,carbon-clock,64.646,0.884,42,0,0
173,story,gun-deaths,126.598,79.707,0,0,0
143,none,gun-deaths,382.126,0,0,0,0
187,story,us-healthcare,51.309,19.466,16,0,0
177,none,measles,178.775,22.433,0,0,0
140,all,gun-deaths,447.9,32.613,0,35,0
171,none,carbon-clock,222.738,157.544,0,0,0
186,all,us-healthcare,21.303,0,0,0,0
196,int,carbon-clock,96.707,16.263,159,4,11
190,all,measles,241.807,147.698,0,6,0
192,int,measles,192.824,62.409,4,5,0
189,none,us-healthcare,83.198,26.808,0,0,0
165,story,measles,314.095,198.61,0,0,0
131,none,us-healthcare,337.026,153.154,0,0,0
188,int,us-healthcare,414.532,261.198,139,0,0
201,none,gun-deaths,209.671,1.108,0,0,0
84,none,us-healthcare,427.649,19.135,0,0,0
165,story,measles,419.108,209.838,0,0,0
114,story,us-healthcare,123.762,31.155,1,0,0
213,none,carbon-clock,79.814,64.219,0,0,0
212,int,carbon-clock,210.504,18.231,74,5,84
215,story,gun-deaths,216.911,82.195,0,0,0
225,int,us-healthcare,13.158,0,0,0,0
226,none,us-healthcare,91.391,0,0,0,0
229,int,measles,85.103,56.893,163,3,0
234,none,carbon-clock,45.563,0.052,0,0,0
226,none,us-healthcare,13.301,0,0,0,0
233,int,carbon-clock,103.112,43.6,9,3,6
236,story,gun-deaths,77.432,57.26,0,0,0
238,none,gun-deaths,55.284,52.771,0,0,0
239,all,us-healthcare,65.021,0,0,13,0
245,int,measles,127.36,28.978,119,2,0
251,all,gun-deaths,105.368,7.005,0,0,0
