"ResponseId","narrative","interactivity","vis","uptime","interactions","correct","size"
"R_1QLbO3KizfSbvun","False","True","measles",151.803,9,10,11
"R_1QmYzF5epwIDUcu","True","True","gun-deaths",309.428,12,7,11
"R_1QN7Ofid1ZCvO0R","True","True","carbon-clock",75.585,3,8,11
"R_1QtRECqHV6IRhH1","False","True","us-healthcare",189.036,14,9,11
"R_1QyBYqrtiTN3pMU","True","True","measles",117.266,1,8,11
"R_1QzOMXwMS6naJkh","False","True","gun-deaths",44.007,4,2,11
"R_1r3yr6keSQMiwdR","True","True","measles",167.835,2,7,11
"R_1ri65YhYrDFLmiI","True","True","measles",192.461,5,8,11
"R_1SyJC1w3GLICSsh","True","False","gun-deaths",137.807,0,6,11
"R_21h1da5i4nOwSVI","True","True","us-healthcare",112.314,1,6,11
"R_21iA0mLsLaSLxnE","False","False","us-healthcare",641.204,0,7,11
"R_21ms4AHEw0XQhmM","False","True","measles",75.881,6,4,11
"R_21oCYAvTV1zOo3r","False","True","measles",105.175,7,7,11
"R_21yqGWZyjixwALA","False","False","carbon-clock",65.201,0,7,11
"R_22K2B631JqHNXjC","True","True","us-healthcare",84.115,0,8,11
"R_22Wf3XkQrlVGXcw","True","True","measles",169.218,1,8,11
"R_22XqEcJRdhfoiRQ","True","False","gun-deaths",216.911,0,6,11
"R_23768zn9hzikjod","True","True","measles",413.468,3,8,11
"R_24HLv4M8KuHx6wZ","False","True","gun-deaths",108.184,6,4,11
"R_24HRmha3R3Ai9f2","False","True","carbon-clock",329.421,7,7,11
"R_25WwWqkhf7b6Twy","False","True","us-healthcare",146.781,8,4,11
"R_25zlCgbSrBxriba","True","False","measles",131.444,0,8,11
"R_263yewXIYEAdKt0","False","False","gun-deaths",77.657,0,4,11
"R_26g5iiJfCfG105Y","False","False","carbon-clock",222.738,0,8,11
"R_277sG7jdHeF42uE","False","False","measles",178.775,0,9,11
"R_27EwbxGxq5WgEC8","False","True","us-healthcare",33.547,0,7,11
"R_28PagGZWkovyybF","True","False","gun-deaths",77.432,0,8,11
"R_28V70lpBzaH74wZ","False","False","gun-deaths",28.074,0,7,11
"R_29vrdstXRDM5zdQ","False","True","gun-deaths",371.959,85,6,11
"R_2a99tP2OPhJhd0v","False","True","gun-deaths",74.965,10,4,11
"R_2aDkoEe90pLd4pR","True","False","measles",197.871,0,9,11
"R_2akxc74bmzGJyWO","False","False","measles",314.182,0,8,11
"R_2aLFIF8c7uukYH4","True","False","gun-deaths",160.684,0,4,11
"R_2areLloluFXZDAm","False","True","us-healthcare",249.826,30,7,11
"R_2aV5SuWm015J6Ie","False","False","measles",125.69,0,4,11
"R_2axbQJBenRrce6L","True","True","measles",179.5,1,6,11
"R_2AYgKFxSGFLLduJ","False","False","carbon-clock",49.436,0,7,11
"R_2AZFeWx9BClsREd","False","True","measles",154.995,16,4,11
"R_2bJLzvEQIgAhsBB","True","True","gun-deaths",103.002,0,6,11
"R_2c0IqqdC3gpoQi3","True","False","carbon-clock",99.512,0,8,11
"R_2c1oQIem7HdJ51p","True","False","us-healthcare",118.324,0,8,11
"R_2c5gUkNKxOlix3A","True","False","us-healthcare",29.408,0,8,11
"R_2CIDeuEvvqzPkyv","False","True","us-healthcare",393.962,0,4,11
"R_2cirFVEPAFxoXxJ","False","False","us-healthcare",434.598,0,8,11
"R_2CNz09GfOnhjLtP","True","False","gun-deaths",126.598,0,6,11
"R_2CvNczKtNbK160Z","True","False","us-healthcare",185.688,0,6,11
"R_2cwTENzvlDMrQnY","False","False","us-healthcare",337.026,0,4,11
"R_2cyB2oRsO0lSSGZ","False","True","us-healthcare",45.037,0,7,11
"R_2czlfFCdZrZ9zBj","True","True","carbon-clock",139.046,3,9,11
"R_2D6A3airYqAPvuU","True","True","gun-deaths",80.322,0,7,11
"R_2D8n6NKUek2koPq","True","True","gun-deaths",105.368,0,7,11
"R_2dDVjDi1sDogyii","True","False","us-healthcare",28.139,0,4,11
"R_2dFsc8sYMakIrTD","False","True","gun-deaths",160.414,19,7,11
"R_2dG95537GCe5d2U","False","False","carbon-clock",141.367,0,7,11
"R_2DOyB4lXnJX3PnN","False","True","measles",502.388,17,9,11
"R_2dTpwfchpFvCHUQ","False","True","carbon-clock",50.572,3,7,11
"R_2DUIpk748YNjfyt","True","True","us-healthcare",216.134,42,8,11
"R_2dYBHqcE0ooS5l7","True","False","gun-deaths",187.233,0,4,11
"R_2e8QUpXrDVeJVK6","True","True","measles",338.227,2,10,11
"R_2EGZIRix8kCXYTm","True","False","carbon-clock",128.578,0,8,11
"R_2f9x3ylJ0xwFgSp","False","False","gun-deaths",52.087,0,4,11
"R_2fiYxzJ6LfDzXgm","True","False","measles",336.321,0,8,11
"R_2fsbCMrDe9rfq0u","True","False","gun-deaths",71.862,0,6,11
"R_2nHsoFePTxBNX2h","True","False","measles",101.924,0,10,11
"R_2OSZVughHN8WHDY","False","True","carbon-clock",229.122,9,7,11
"R_2P12OrCxm2c9cVC","False","False","carbon-clock",77.226,0,6,11
"R_2q9nPuqexQUUqFH","True","False","gun-deaths",94.68,0,6,11
"R_2qCuQo6E6pQ7x10","True","False","carbon-clock",97.897,0,8,11
"R_2QlEgQM4JddFgwj","False","False","carbon-clock",139.979,0,8,11
"R_2Qsm2iQAv7k3s8K","True","True","measles",159.593,4,8,11
"R_2QupQ2oH7gNNFS5","False","False","measles",41.143,0,6,11
"R_2RaX3ivdnguWgRv","False","False","gun-deaths",73.671,0,3,11
"R_2rJiIZKRcOydjo6","False","False","carbon-clock",51.758,0,6,11
"R_2rrmZ7Whpw1nYlJ","False","False","gun-deaths",55.284,0,4,11
"R_2RVcZBHHPokF10E","False","False","us-healthcare",60.767,0,6,11
"R_2s0FziznlTj5054","False","False","measles",191.473,0,7,11
"R_2S3mPcz7BCD0FYQ","False","True","carbon-clock",52.742,1,4,11
"R_2satn5urnImtLOX","False","False","gun-deaths",209.671,0,4,11
"R_2SB3Pja1TJ4Mevg","True","False","gun-deaths",136.139,0,7,11
"R_2Sc47dF0wI4Z7yY","False","False","us-healthcare",46.463,0,6,11
"R_2SCamLiC371sWCv","False","False","carbon-clock",45.563,0,4,11
"R_2SDGk6AoPLueVjP","False","True","us-healthcare",13.158,0,3,11
"R_2sdnoU2Xh2RaZ01","False","False","measles",125.537,0,10,11
"R_2sdTrCMvvwYdNYd","False","True","carbon-clock",98.742,7,4,11
"R_2SHO7bmUape6E8M","True","True","gun-deaths",447.9,35,4,11
"R_2SlFiKGyclNHBa2","False","True","measles",26.724,2,4,11
"R_2SqXgACoXzkJwv9","True","False","carbon-clock",432.714,0,8,11
"R_2tJClpEDytU6LCD","True","True","carbon-clock",379.508,2,9,11
"R_2txT2d5X4ywwRYr","True","False","us-healthcare",152.718,0,7,11
"R_2TYwe31JXFPMMxw","True","True","us-healthcare",180.969,2,8,11
"R_2Uf4pM00fJaPlLj","False","False","gun-deaths",71.476,0,7,11
"R_2UftJ91TVLyamLI","False","False","gun-deaths",382.126,0,4,11
"R_2urMY29ILEFdvJq","True","True","gun-deaths",120.803,5,4,11
"R_2uUQDvsbusbWaSQ","False","True","gun-deaths",2.591,0,7,11
"R_2UYnEXMt7sGlJ6F","True","False","us-healthcare",173.692,0,8,11
"R_2VHD0vr0Tbpomf0","True","True","us-healthcare",225.628,18,6,11
"R_2vk2taIpJ6mbNW0","True","True","carbon-clock",209.454,0,8,11
"R_2VOtzPYSTkq5dBv","False","False","gun-deaths",77.813,0,4,11
"R_2VsxKMJNRoifB8K","False","True","measles",63.672,1,7,11
"R_2w0Kouh2wiXLEx0","True","False","us-healthcare",152.082,0,7,11
"R_2w5qyqopYJ7n1Eg","True","False","gun-deaths",56.876,0,4,11
"R_2WG9ktqpdA34BJD","False","False","carbon-clock",23.433,0,7,11
"R_2WYVYj9X1huiSGS","False","False","gun-deaths",42.12,0,3,11
"R_2WZK7YPbpY5DUFt","False","True","carbon-clock",65.889,3,8,11
"R_2X6iYXszVh6bmOe","False","False","us-healthcare",231.537,0,9,11
"R_2Xcz1rduC52CsuP","True","True","us-healthcare",168.309,23,8,11
"R_2xLiVU0MaBpPZVS","True","True","gun-deaths",195.708,27,4,11
"R_2xQNhYFrBOHfylv","True","False","measles",70.468,0,7,11
"R_2xS4iQIhiSdqfip","True","False","carbon-clock",218.754,0,8,11
"R_2xXmP60Y6w0nk2Y","True","True","carbon-clock",192.49,5,8,11
"R_2YLBzQ0jLoPeoU9","False","True","us-healthcare",67.503,0,7,11
"R_2YnsCiRNjqvtGAK","True","False","gun-deaths",71.68,0,4,11
"R_2YRsLiqVNhfSxko","False","True","measles",182.599,6,8,11
"R_2zCItlZwFLIJfzE","False","True","measles",262.488,0,7,11
"R_2ZHReurWvFfwgjb","False","True","carbon-clock",94.356,4,6,11
"R_2ZNpZPLmihLa4ch","True","False","gun-deaths",145.29,0,4,11
"R_30cNCCtLXt96TMh","False","True","gun-deaths",367.082,66,4,11
"R_31a2nEWgWasL3AN","True","True","gun-deaths",257.099,23,7,11
"R_31LBq2YZGDOUnDT","False","True","carbon-clock",117.47,12,8,11
"R_31Ldy2BksXvnhod","True","False","gun-deaths",321.262,0,7,11
"R_31n01LEnXmNmidu","True","False","gun-deaths",100.241,0,4,11
"R_31NxElpnTjB9AOY","False","True","carbon-clock",30.21,0,8,11
"R_322C86oeWn47vBg","False","False","carbon-clock",34.52,0,4,11
"R_32QtItstS5Z7w11","False","True","gun-deaths",118.925,19,9,11
"R_333DA5t2zWn8hTe","True","False","carbon-clock",371.967,0,7,11
"R_338tblMu7CDFkZ5","False","True","us-healthcare",32.24,0,7,11
"R_33l3BYQ4NGILn8H","True","False","us-healthcare",94.07,0,8,11
"R_3D1Li8tosFtHUgr","True","False","measles",184.471,0,6,11
"R_3dGtNeY0Y7JshGT","False","False","us-healthcare",427.649,0,7,11
"R_3Dhk5mH5cg8pB37","True","True","us-healthcare",32.583,1,8,11
"R_3dLeX73SwYJ1AKK","False","False","gun-deaths",45.592,0,6,11
"R_3dMlzo2Gatj0nCD","False","False","carbon-clock",125.146,0,7,11
"R_3dQytosF6NefnUf","True","True","measles",472.856,15,9,11
"R_3dVTwAEuZJJMuZC","False","True","gun-deaths",36.887,1,4,11
"R_3e2IsNXg1FVC71v","False","True","measles",593.264,27,4,11
"R_3Eby27t2w1WOQke","True","True","measles",274.711,2,9,11
"R_3EgRqyJvBzRHn4r","True","False","carbon-clock",115.045,0,7,11
"R_3ekloZ5MBwWhMcq","False","True","carbon-clock",207.916,5,8,11
"R_3exf45CwgbslGYx","True","True","us-healthcare",65.021,13,6,11
"R_3Ezno75fHHs3Oyi","True","False","measles",77.924,0,4,11
"R_3F3SI3giJUv8HCF","False","False","carbon-clock",25.962,0,8,11
"R_3fNPSyB7JZZDbwQ","False","True","carbon-clock",54.285,8,4,11
"R_3fOUPYzMmEAxFmw","False","False","us-healthcare",10.582,0,8,11
"R_3FVDe9ZFStuC9ZV","False","True","carbon-clock",149.374,10,7,11
"R_3G1cVjGf9j3MAfy","True","False","carbon-clock",95.454,0,7,11
"R_3g6Q16Khz30VCFF","True","True","measles",241.807,6,8,11
"R_3g8fQ6C4tGrYGok","False","True","measles",284.249,18,7,11
"R_3GfEotBhfFcnsYj","False","True","carbon-clock",29.052,5,7,11
"R_3HAXN0r8SCSLeTG","False","True","us-healthcare",414.532,0,8,11
"R_3hc33g4bStONKWZ","False","False","measles",186.27,0,7,11
"R_3hfHWvGMLfynhuN","True","False","carbon-clock",313.238,0,10,11
"R_3HGkoTGpDDbTd0X","True","False","measles",205.287,0,10,11
"R_3Hk8GCX9pBgNlwb","True","False","measles",173.685,0,7,11
"R_3HT8KvsnSA1UkJc","False","False","measles",341.474,0,6,11
"R_3HThSYRUwe6z8CS","True","True","us-healthcare",26.777,1,10,11
"R_3HtsjvsJxefNXIT","True","False","measles",189.453,0,7,11
"R_3I0rdiqVlIgLLa9","False","True","carbon-clock",196.269,10,8,11
"R_3I3mCjGDYyHXE27","True","False","us-healthcare",131.037,0,6,11
"R_3iI1RHDH4ImeZpn","True","False","measles",161.418,0,9,11
"R_3iqc0IFfQtdzAqG","False","False","us-healthcare",78.5,0,6,11
"R_3irGePOTNwrGQ20","False","False","us-healthcare",101.064,0,4,11
"R_3J2BYjnKyOeuRxo","False","True","gun-deaths",145.422,34,9,11
"R_3j9hbiJOwp1uwmk","True","False","us-healthcare",35.573,0,6,11
"R_3JaNgdUIklFhtwz","True","True","us-healthcare",285.938,0,7,11
"R_3JCac0tLbEv1TJ7","False","False","carbon-clock",37.119,0,7,11
"R_3JEnPZZemZw0UIt","False","True","us-healthcare",46.935,0,6,11
"R_3kNYDKGYD2nOQDS","True","True","us-healthcare",623.447,3,8,11
"R_3KVDcf9PWdLQBmU","True","True","carbon-clock",169.885,0,4,11
"R_3lE6DY7dlcZSZwT","False","True","us-healthcare",1.668,0,10,11
"R_3lFRTeh4c9cIVn1","True","False","measles",391.102,0,7,11
"R_3Lj8SrbsVGMuaCW","True","False","gun-deaths",213.435,0,4,11
"R_3lPpk28xVLyiyRi","True","False","gun-deaths",125.176,0,8,11
"R_3lVXkqG8pkv0MNu","True","False","gun-deaths",78.069,0,6,11
"R_3ly3oti7R4h9gGh","False","True","measles",156.674,5,8,11
"R_3MA4vZtQ32cAkVC","True","False","carbon-clock",269.111,0,7,11
"R_3MfmNhgepFuaVR2","True","True","carbon-clock",72.908,0,8,11
"R_3nwI3GafQc7GXzg","True","True","measles",112.799,0,6,11
"R_3O3qVwFb5cwbDgx","False","False","gun-deaths",223.315,0,6,11
"R_3PiUHDByTRfbfY1","False","True","us-healthcare",151.165,7,9,11
"R_3PjkXw8Zu50ec0r","True","False","gun-deaths",275.782,0,4,11
"R_3pm5UllilBHz1J0","True","False","carbon-clock",150.581,0,8,11
"R_3PMhRV11cVzzewd","True","True","carbon-clock",26.938,0,8,11
"R_3psEx0otpOxd9cn","True","False","carbon-clock",199.796,0,8,11
"R_3Q0kGISgxZBj5QL","True","True","carbon-clock",327.934,1,9,11
"R_3qql50rlvHtwBpz","True","True","gun-deaths",800.186,70,3,11
"R_3qwyAklKBd4CVaP","True","True","measles",200.897,2,8,11
"R_3qydPbc5JLA2dWc","True","True","us-healthcare",327.032,52,9,11
"R_3r18VYvNsHuRhbe","True","True","us-healthcare",303.631,16,8,11
"R_3R8givuBTJhgxer","True","False","carbon-clock",73.787,0,4,11
"R_3RgvarUKxoTAnzD","False","False","gun-deaths",166.797,0,4,11
"R_3RmEPnig11CUbjV","True","True","us-healthcare",272.952,8,7,11
"R_3rO0NDAHlLNZRv6","True","True","us-healthcare",86.814,-1,4,11
"R_3RwpMa84WozajA0","True","True","gun-deaths",73.754,1,6,11
"R_3s7HvlB9ooXXxWh","True","False","us-healthcare",127.205,0,4,11
"R_3sc9bEtXVZrcJW3","True","False","gun-deaths",163.457,0,8,11
"R_3strS1R4g2psh1w","True","False","gun-deaths",292.706,0,9,11
"R_3VtuWJHz5if7Ja9","False","True","measles",97.376,1,8,11
"R_4IcDqYE13kUWZ45","True","False","carbon-clock",64.646,0,7,11
"R_4Zqjhqp5Y6NutoZ","True","False","us-healthcare",210.657,0,4,11
"R_56IJmpFf6fsxSzT","False","False","carbon-clock",172.163,0,8,11
"R_5pv13nd4KHswIEx","False","False","gun-deaths",57.593,0,4,11
"R_5sEgOWm5fQ421yN","True","True","us-healthcare",206.204,25,7,11
"R_5v7Gz96JvDhKODD","True","False","measles",113.544,0,7,11
"R_6hENGbCoMpPtJPH","True","False","us-healthcare",62.072,0,4,11
"R_6ij8VV3ym5w8l1L","True","False","measles",176.624,0,9,11
"R_6xQa3gTXm98pwCl","False","False","us-healthcare",7.06,0,4,11
"R_79Qr5n8HSfFEQO5","True","False","us-healthcare",122.682,0,7,11
"R_7Vbobz2xigMIUEN","False","True","gun-deaths",27.733,0,6,11
"R_87GCb6lZOHxMWCl","False","False","gun-deaths",75.437,0,6,11
"R_8bOP7TfUFtZNf0Z","False","True","measles",79.542,1,4,11
"R_8etuxNrfwagegdH","True","True","gun-deaths",144.866,5,4,11
"R_9KB0bq75ybWgx0t","True","True","measles",234.332,3,10,11
"R_9tyzvfK1Jq7abeN","True","False","us-healthcare",78.158,0,9,11
"R_9Y0N5wksQjitDAR","True","False","measles",203.118,0,10,11
"R_A0RKuVKcV93NiKJ","False","True","gun-deaths",381.052,31,6,11
"R_AA9fX3gmxWsTx7z","True","True","carbon-clock",80.524,5,8,11
"R_AmS5FVu96tdovLj","False","False","carbon-clock",36.089,0,8,11
"R_bBYdX7vnUA661Wx","False","True","carbon-clock",38.883,4,10,11
"R_bl5FKlxBKOsl5mx","True","True","carbon-clock",163.231,4,9,11
"R_brcWfT2TBVrieqt","False","True","carbon-clock",103.112,3,8,11
"R_BsLx4PUUmpwxLyh","False","True","measles",216.668,7,6,11
"R_CaDbp9mARxGnrJ7","True","False","gun-deaths",160.016,0,6,11
"R_CjJio7htz7cAaxX","True","True","gun-deaths",300.945,14,8,11
"R_cJjy8pfQEmL1yff","False","True","measles",141.22,5,8,11
"R_CkPCGmue7HN9Ezv","False","True","measles",71.302,0,9,11
"R_cMDhyOVdsaFVv3z","True","True","measles",236.594,4,8,11
"R_cNEHtkpw4aEQ17b","True","False","gun-deaths",216.783,0,9,11
"R_D05mJHC7Kgmonqp","True","False","measles",93.227,0,6,11
"R_D8ec49zwbDzDqcV","False","False","gun-deaths",46.066,0,3,11
"R_diib78pIO1gEpMZ","True","False","measles",653.203,0,10,11
"R_DMJQRygpgsh5ywN","False","True","gun-deaths",25.824,0,4,11
"R_DpdBgDYqvp9NBK1","False","False","carbon-clock",31.185,0,7,11
"R_Dx7SNAQvhgZSbXb","False","True","us-healthcare",168.063,9,4,11
"R_eX8utN9hLJOseSR","True","False","measles",100.284,0,9,11
"R_O7npGzbpvLnieJ3","False","True","gun-deaths",101.073,3,3,11
"R_OJdIRAKekBDBkqt","False","True","us-healthcare",308.356,17,7,11
"R_OrFUJVuP454Ssal","True","True","carbon-clock",174.497,0,8,11
"R_oXnEfkklHqyhoyJ","True","False","gun-deaths",139.098,0,4,11
"R_oZRa6OgV0iakPKN","False","False","carbon-clock",339.995,0,8,11
"R_p4Lfl4RZ7lt7b45","False","True","gun-deaths",28.598,0,4,11
"R_p6kkg4ApyWaj02t","False","False","measles",124.092,0,8,11
"R_pK3R9VdV1to4rip","False","False","us-healthcare",188.784,0,4,11
"R_ptUv7JX9z53ciM9","True","False","us-healthcare",402.793,0,8,11
"R_Q4BkWuSomLdn0f7","False","False","measles",277.432,0,7,11
"R_QagIuatGDWRr6q5","True","True","carbon-clock",124.713,0,6,11
"R_QhJzEghdeaz14Pf","True","True","measles",184.502,2,10,11
"R_QnyVElJZcpRl80V","False","True","us-healthcare",124.131,0,9,11
"R_RCbZzMRtPfDMYcV","True","False","carbon-clock",121.928,0,9,11
"R_RCwt3sjfv1fvT1L","True","False","us-healthcare",63.54,0,9,11
"R_RghxZZzdWlyR0iJ","True","True","measles",113.184,0,9,11
"R_RJLF9AaicL1POoN","True","False","carbon-clock",227.816,0,6,11
